Last Name,First Name,KIA,War
HEALY, JOHN,FALSE,WW1
HEALY, JOSEPH H,TRUE,WW1
HICKEY, JOSEPH,FALSE,WW1
HIGGINS, CHARLES E,FALSE,WW1
HIGGINS, EDWARD J,FALSE,WW1
HIGGINS, JOHN A,TRUE,WW1
HODGINS, CHARLES E,FALSE,WW1
HODSON, ERNEST B,FALSE,WW1
HOLMES, CHARLES W,FALSE,WW1
HORNER, HARRY J,FALSE,WW1
HOWARD, DAVID R,FALSE,WW1
HOWLAND, HENRY R,FALSE,WW1
INCOLLINGO, SABATINO,FALSE,WW1
JACOB, RUSSELL,FALSE,WW1
JANNITTO, GAETANO,FALSE,WW1
JANNITTO, JOHN J,FALSE,WW1
JEREKS, JOHN,FALSE,WW1
JARVIS, ANTONIO,FALSE,WW1
JAWOREK, ANDREW,FALSE,WW1
JAWOREK, FRANK J,FALSE,WW1
JOHNSON, HENRY,FALSE,WW1
JOHNSON, IVER W,TRUE,WW1
JOHNSON, MANNE S,FALSE,WW1
JOHNSON, MARTIN C,FALSE,WW1
JOLY, JOSEPH W,FALSE,WW1
JOLY, OVIDE T,FALSE,WW1
JOLY, WILFRED,FALSE,WW1
JONES, ROLAND T,FALSE,WW1
JURCZYK, FRANK,FALSE,WW1
KALIFY, BECHARA,FALSE,WW1
KEEFE, CHRISTOPHER W,FALSE,WW1
KELLEY, HOWARD J,FALSE,WW1
KEYES, JAMES P,FALSE,WW1
KING, FRANK F,FALSE,WW1
KINNEY, CHARLES S,FALSE,WW1
KOWZIK, JOHN,FALSE,WW1
LACHANCE, ALFRED,FALSE,WW1
LACHAPELLE, JOSEPH E,FALSE,WW1
LAFERRIERE, DONAT,FALSE,WW1
LAFERRIERE, FRANCIS J,FALSE,WW1
LAMORA, CHARLES,FALSE,WW1
LANOIE, ALDEAS P,FALSE,WW1
LANOUE, OVILA J,FALSE,WW1
LAROCHE, JEAN B,FALSE,WW1
LAROCHE, WILFRED J,TRUE,WW1
LAURIENZO, ANTONIO,FALSE,WW1
LAVEY, THOMAS P,FALSE,WW1
LAVOIE, ULYSSES,FALSE,WW1
LAWRENCE, MATTHEW,FALSE,WW1
LEE, FERDINAND,FALSE,WW1
LEMIEUX, ARTHUR,FALSE,WW1
LESCAULT, OSCAR J,FALSE,WW1
LESSARD, OLIVER W,FALSE,WW1
LEWIS, GEORGE W,FALSE,WW1
LITTLE, FRANCIS,FALSE,WW1
LITTLE, JOSEPH,FALSE,WW1
LITTLE, STEPHEN W,FALSE,WW1
LITTLEFIELD, JAMES A,FALSE,WW1
LIVSEY, EDWARD V,FALSE,WW1
LOMAS, WILLIAM T,FALSE,WW1
LOMBARDI, MICHAEL,FALSE,WW1
LOMBARDO, ALMA,FALSE,WW1
LYNCH, CORNELIUS J,FALSE,WW1
MACHADO, FRANK,FALSE,WW1
MADDOX, GEORGE A,FALSE,WW1
MAGGIACOMO, GUISEPPE,FALSE,WW1
MAGUIRE, EDWARD,FALSE,WW1
MALLORY, JOHN D,FALSE,WW1
MARCHAND, PAUL,FALSE,WW1
MARKS, JOSEPH,FALSE,WW1
MARSHALL, JOHN E,FALSE,WW1
MARSHALL, LEONARD,FALSE,WW1
MARTIN, HOWARD L,FALSE,WW1
MASON, CHARLES E,FALSE,WW1
MASON, OLIVER L,FALSE,WW1
MASSUD, GEORGE E,FALSE,WW1
MASUD, CHARLES,FALSE,WW1
MAYO, ANTHONY,FALSE,WW1
MCCANN, JOSEPH T,FALSE,WW1
MCCANN, MICHAEL F,FALSE,WW1
MCCANN, THOMAS,FALSE,WW1
MCDERMOTT, ALFRED,FALSE,WW1
MCDONOUGH, JOHN F,FALSE,WW1
MCKENNA, WILLIAM H,FALSE,WW1
MCLAUGHLIN, JOSEPH F,FALSE,WW1
MCMAHON, JAMES W,FALSE,WW1
MCMAHON, JOHN,FALSE,WW1
MCMURRY, HENRI W,FALSE,WW1
